z		B
-1.000000e+02 4.167372e+02
-9.000000e+01 4.167697e+02
-8.000000e+01 4.165300e+02
-7.000000e+01 4.162547e+02
-6.000000e+01 4.159440e+02
-5.000000e+01 4.155979e+02
-4.000000e+01 4.152166e+02
-3.000000e+01 4.148002e+02
-2.000000e+01 4.143490e+02
-1.000000e+01 4.138631e+02
0.000000e+00 4.133426e+02
1.000000e+01 4.127879e+02
2.000000e+01 4.121990e+02
3.500000e+01 4.112524e+02
5.000000e+01 4.102304e+02
7.500000e+01 4.083622e+02
1.000000e+02 4.062919e+02
1.250000e+02 4.040243e+02
1.500000e+02 4.015649e+02
1.750000e+02 3.989194e+02
2.000000e+02 3.960940e+02
2.500000e+02 3.899297e+02
3.000000e+02 3.831269e+02
3.500000e+02 3.757443e+02
4.000000e+02 3.678432e+02
4.500000e+02 3.594864e+02
4.900000e+02 3.525156e+02
5.250000e+02 3.462357e+02
5.600000e+02 3.398097e+02
6.150000e+02 3.294671e+02
6.600000e+02 3.208305e+02
7.000000e+02 3.130576e+02
7.500000e+02 3.032583e+02
8.000000e+02 2.934134e+02
8.540000e+02 2.827836e+02
9.000000e+02 2.737700e+02
9.460000e+02 2.648264e+02
9.710000e+02 2.600048e+02
1.003000e+03 2.538812e+02
1.032000e+03 2.483844e+02
1.065000e+03 2.421971e+02
1.101000e+03 2.355375e+02
1.143000e+03 2.278974e+02
1.214000e+03 2.153288e+02
1.299000e+03 2.009060e+02
1.398000e+03 1.850284e+02
1.520000e+03 1.668846e+02
1.617000e+03 1.535910e+02
1.722000e+03 1.403128e+02
1.820000e+03 1.289271e+02
1.894000e+03 1.209462e+02
1.946000e+03 1.156420e+02
1.989000e+03 1.114386e+02
2.024000e+03 1.081358e+02
2.055000e+03 1.052970e+02
2.083000e+03 1.028012e+02
2.098000e+03 1.014904e+02
2.110000e+03 1.004546e+02
2.120000e+03 9.960025e+01
2.126000e+03 9.909139e+01
2.130000e+03 9.875371e+01
2.132000e+03 9.858534e+01
2.134000e+03 9.841728e+01
2.136000e+03 9.824953e+01
2.138000e+03 9.808209e+01
2.141930e+03 9.775398e+01
2.145160e+03 9.748520e+01
2.147050e+03 9.732830e+01
2.148650e+03 9.719569e+01
2.150120e+03 9.707402e+01
2.151160e+03 9.698805e+01
2.152030e+03 9.691619e+01
2.152870e+03 9.684687e+01
2.153480e+03 9.679656e+01
2.154070e+03 9.674792e+01
2.154730e+03 9.669355e+01
2.155500e+03 9.663016e+01
2.156160e+03 9.657586e+01
2.156820e+03 9.652160e+01
2.157570e+03 9.645997e+01
2.158210e+03 9.640742e+01
2.158840e+03 9.635572e+01
2.159420e+03 9.630815e+01
2.160010e+03 9.625978e+01
2.160630e+03 9.620899e+01
2.161260e+03 9.615740e+01
2.162290e+03 9.607313e+01
2.163290e+03 9.599139e+01
2.164560e+03 9.588768e+01
2.166030e+03 9.576780e+01
2.167690e+03 9.563262e+01
2.169990e+03 9.544567e+01
2.172320e+03 9.525669e+01
2.175280e+03 9.501719e+01
2.178740e+03 9.473808e+01
2.182440e+03 9.444060e+01
2.186080e+03 9.414894e+01
2.191460e+03 9.371966e+01
2.196520e+03 9.331787e+01
2.201920e+03 9.289117e+01
2.207660e+03 9.243996e+01
2.213740e+03 9.196464e+01
2.220040e+03 9.147496e+01
2.227740e+03 9.088036e+01
2.235290e+03 9.030148e+01
2.243320e+03 8.969026e+01
2.251640e+03 8.906179e+01
2.259430e+03 8.847778e+01
2.269690e+03 8.771507e+01
2.282380e+03 8.678180e+01
2.294370e+03 8.591015e+01
2.308550e+03 8.489188e+01
2.325780e+03 8.367270e+01
2.346100e+03 8.226003e+01
2.378190e+03 8.008339e+01
2.418660e+03 7.743053e+01
2.457900e+03 7.495320e+01
2.495560e+03 7.266035e+01
2.535470e+03 7.031784e+01
2.578230e+03 6.790407e+01
2.628320e+03 6.519759e+01
2.688100e+03 6.213034e+01
2.761490e+03 5.859303e+01
2.844400e+03 5.487885e+01
2.970760e+03 4.974239e+01
3.133790e+03 4.394193e+01
3.424990e+03 3.549383e+01
3.752710e+03 2.825214e+01
4.295860e+03 1.988320e+01
4.968640e+03 1.342182e+01
5.762830e+03 8.884460e+00
7.360820e+03 4.415833e+00
8.974240e+03 2.480899e+00
1.159620e+04 1.167721e+00
1.539200e+04 5.049427e-01
2.113310e+04 1.967394e-01
2.667660e+04 9.825091e-02
3.607950e+04 3.988816e-02
4.700930e+04 1.808480e-02
6.808440e+04 5.970130e-03
