z		B
-1.000000e+02 2.057755e+02
-9.000000e+01 2.057916e+02
-8.000000e+01 2.056732e+02
-7.000000e+01 2.055373e+02
-6.000000e+01 2.053838e+02
-5.000000e+01 2.052130e+02
-4.000000e+01 2.050247e+02
-3.000000e+01 2.048191e+02
-2.000000e+01 2.045963e+02
-1.000000e+01 2.043563e+02
0.000000e+00 2.040994e+02
1.000000e+01 2.038254e+02
2.000000e+01 2.035347e+02
3.500000e+01 2.030673e+02
5.000000e+01 2.025626e+02
7.500000e+01 2.016402e+02
1.000000e+02 2.006179e+02
1.250000e+02 1.994982e+02
1.500000e+02 1.982838e+02
1.750000e+02 1.969775e+02
2.000000e+02 1.955824e+02
2.500000e+02 1.925386e+02
3.000000e+02 1.891795e+02
3.500000e+02 1.855341e+02
4.000000e+02 1.816327e+02
4.500000e+02 1.775064e+02
4.900000e+02 1.740643e+02
5.250000e+02 1.709634e+02
5.600000e+02 1.677905e+02
6.150000e+02 1.626835e+02
6.600000e+02 1.584189e+02
7.000000e+02 1.545809e+02
7.500000e+02 1.497422e+02
8.000000e+02 1.448810e+02
8.540000e+02 1.396322e+02
9.000000e+02 1.351815e+02
9.460000e+02 1.307654e+02
9.710000e+02 1.283846e+02
1.003000e+03 1.253609e+02
1.032000e+03 1.226467e+02
1.065000e+03 1.195915e+02
1.101000e+03 1.163032e+02
1.143000e+03 1.125307e+02
1.214000e+03 1.063246e+02
1.299000e+03 9.920290e+01
1.398000e+03 9.136291e+01
1.520000e+03 8.240387e+01
1.617000e+03 7.583980e+01
1.722000e+03 6.928331e+01
1.820000e+03 6.366131e+01
1.894000e+03 5.972053e+01
1.946000e+03 5.710143e+01
1.989000e+03 5.502589e+01
2.024000e+03 5.339504e+01
2.055000e+03 5.199331e+01
2.083000e+03 5.076095e+01
2.098000e+03 5.011368e+01
2.110000e+03 4.960226e+01
2.120000e+03 4.918038e+01
2.126000e+03 4.892912e+01
2.130000e+03 4.876238e+01
2.132000e+03 4.867924e+01
2.134000e+03 4.859626e+01
2.136000e+03 4.851343e+01
2.138000e+03 4.843075e+01
2.141930e+03 4.826873e+01
2.145160e+03 4.813602e+01
2.147050e+03 4.805854e+01
2.148650e+03 4.799306e+01
2.150120e+03 4.793299e+01
2.151160e+03 4.789053e+01
2.152030e+03 4.785505e+01
2.152870e+03 4.782082e+01
2.153480e+03 4.779598e+01
2.154070e+03 4.777197e+01
2.154730e+03 4.774512e+01
2.155500e+03 4.771382e+01
2.156160e+03 4.768701e+01
2.156820e+03 4.766021e+01
2.157570e+03 4.762978e+01
2.158210e+03 4.760383e+01
2.158840e+03 4.757830e+01
2.159420e+03 4.755481e+01
2.160010e+03 4.753093e+01
2.160630e+03 4.750585e+01
2.161260e+03 4.748038e+01
2.162290e+03 4.743877e+01
2.163290e+03 4.739840e+01
2.164560e+03 4.734720e+01
2.166030e+03 4.728800e+01
2.167690e+03 4.722126e+01
2.169990e+03 4.712894e+01
2.172320e+03 4.703563e+01
2.175280e+03 4.691737e+01
2.178740e+03 4.677955e+01
2.182440e+03 4.663266e+01
2.186080e+03 4.648864e+01
2.191460e+03 4.627668e+01
2.196520e+03 4.607828e+01
2.201920e+03 4.586759e+01
2.207660e+03 4.564479e+01
2.213740e+03 4.541009e+01
2.220040e+03 4.516829e+01
2.227740e+03 4.487469e+01
2.235290e+03 4.458885e+01
2.243320e+03 4.428705e+01
2.251640e+03 4.397673e+01
2.259430e+03 4.368835e+01
2.269690e+03 4.331174e+01
2.282380e+03 4.285091e+01
2.294370e+03 4.242052e+01
2.308550e+03 4.191772e+01
2.325780e+03 4.131571e+01
2.346100e+03 4.061817e+01
2.378190e+03 3.954339e+01
2.418660e+03 3.823347e+01
2.457900e+03 3.701022e+01
2.495560e+03 3.587806e+01
2.535470e+03 3.472138e+01
2.578230e+03 3.352951e+01
2.628320e+03 3.219312e+01
2.688100e+03 3.067858e+01
2.761490e+03 2.893193e+01
2.844400e+03 2.709795e+01
2.970760e+03 2.456168e+01
3.133790e+03 2.169754e+01
3.424990e+03 1.752606e+01
3.752710e+03 1.395027e+01
4.295860e+03 9.817882e+00
4.968640e+03 6.627395e+00
5.762830e+03 4.386948e+00
7.360820e+03 2.180440e+00
8.974240e+03 1.225013e+00
1.159620e+04 5.765945e-01
1.539200e+04 2.493295e-01
2.113310e+04 9.714553e-02
2.667660e+04 4.851411e-02
3.607950e+04 1.969588e-02
4.700930e+04 8.929872e-03
6.808440e+04 2.947917e-03
